%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status_list0.goal_id.stamp,field.status_list0.goal_id.id,field.status_list0.status,field.status_list0.text
1780307110101216281,3536,1780307110021734614,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307110221865608,3537,1780307110221547997,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307110423019903,3538,1780307110421569405,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307110621887069,3539,1780307110621578157,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307110821852955,3540,1780307110821542584,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307111021820873,3541,1780307111021535658,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307111221926397,3542,1780307111221548525,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307111421831240,3543,1780307111421541911,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307111621847648,3544,1780307111621546496,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307111828099756,3545,1780307111821566914,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307112021878485,3546,1780307112021550509,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307112221813433,3547,1780307112221550615,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307112421950885,3548,1780307112421592596,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307112622109900,3549,1780307112621573483,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307112821954429,3550,1780307112821550358,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307113027652723,3551,1780307113027293549,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307113221929952,3552,1780307113221548695,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307113421865473,3553,1780307113421554998,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307113621934330,3554,1780307113621554479,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307113821951988,3555,1780307113821540157,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307114021869071,3556,1780307114021532658,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307114222090431,3557,1780307114221577764,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307114422003139,3558,1780307114421680007,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307114621819178,3559,1780307114621546621,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307114821839649,3560,1780307114821551831,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307115021827827,3561,1780307115021546832,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307115222171169,3562,1780307115221763608,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307115421764026,3563,1780307115421499490,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307115621904187,3564,1780307115621589285,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307115821929658,3565,1780307115821539545,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307116021934399,3566,1780307116021601736,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307116221907420,3567,1780307116221569861,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307116421871275,3568,1780307116421545123,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307116621889818,3569,1780307116621553822,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307116821963050,3570,1780307116821592783,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307117029768210,3571,1780307117024207785,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307117221838363,3572,1780307117221537524,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307117422845312,3573,1780307117422424991,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307117621808417,3574,1780307117621542266,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307117821859878,3575,1780307117821552893,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307118021956548,3576,1780307118021545654,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307118221812849,3577,1780307118221544302,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307118421875299,3578,1780307118421549303,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307118621902072,3579,1780307118621549304,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307118822193746,3580,1780307118821597588,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307119022455367,3581,1780307119022178122,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307119221788480,3582,1780307119221552642,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307119421837284,3583,1780307119421546133,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307119622063124,3584,1780307119621657126,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307119822119116,3585,1780307119821548323,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307120021814892,3586,1780307120021545824,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307120222013127,3587,1780307120221559315,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307120421876407,3588,1780307120421541816,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307120621867918,3589,1780307120621553433,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307120821797658,3590,1780307120821541142,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307121021784898,3591,1780307121021534581,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307121221951830,3592,1780307121221559062,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307121422990030,3593,1780307121421533854,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307121621883030,3594,1780307121621555679,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307121822484085,3595,1780307121821650578,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307122021939336,3596,1780307122021547765,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307122221830064,3597,1780307122221555162,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307122426810218,3598,1780307122425278729,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307122621753503,3599,1780307122621520737,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307122821839651,3600,1780307122821539854,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307123022321694,3601,1780307123021977937,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307123221858977,3602,1780307123221551107,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307123422037785,3603,1780307123421556681,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307123625882812,3604,1780307123621615225,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307123821981901,3605,1780307123821665019,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307124021865754,3606,1780307124021542987,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307124222409621,3607,1780307124221647574,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307124422016906,3608,1780307124421632887,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307124623244796,3609,1780307124622813121,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307124823617097,3610,1780307124821544503,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307125021895553,3611,1780307125021552161,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307125221770864,3612,1780307125221533672,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307125422037538,3613,1780307125421667218,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307125621848265,3614,1780307125621542685,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307125821841287,3615,1780307125821555343,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307126021959103,3616,1780307126021536334,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
