%time,field.header.seq,field.header.stamp,field.header.frame_id,field.goal_id.stamp,field.goal_id.id,field.goal.target_pose.header.seq,field.goal.target_pose.header.stamp,field.goal.target_pose.header.frame_id,field.goal.target_pose.pose.position.x,field.goal.target_pose.pose.position.y,field.goal.target_pose.pose.position.z,field.goal.target_pose.pose.orientation.x,field.goal.target_pose.pose.orientation.y,field.goal.target_pose.pose.orientation.z,field.goal.target_pose.pose.orientation.w
1780310981351311366,0,1780310981350923126,,0,,0,1780310981350289879,map,-0.64414203167,-2.84502220154,0.0,0.0,0.0,0.0208676843819,0.999782246166
1780311016371833196,1,1780311016371504126,,0,,1,1780311016370688326,map,-0.508442401886,-1.35451698303,0.0,0.0,0.0,-0.00835278789201,0.999965114859
1780311030624486744,2,1780311030624125903,,0,,2,1780311030620767546,map,-1.7116163969,-2.72194981575,0.0,0.0,0.0,-0.00145987823438,0.999998934377
1780311072363086768,3,1780311072362430780,,0,,3,1780311072360883701,map,-1.71211779118,-1.5372505188,0.0,0.0,0.0,-0.00728721986156,0.999973447861
1780311089921616196,4,1780311089920503959,,0,,4,1780311089919000734,map,-3.02976560593,-1.38098812103,0.0,0.0,0.0,-0.016547073706,0.999863087803
