%time,field.header.seq,field.header.stamp,field.header.frame_id,field.goal_id.stamp,field.goal_id.id,field.goal.target_pose.header.seq,field.goal.target_pose.header.stamp,field.goal.target_pose.header.frame_id,field.goal.target_pose.pose.position.x,field.goal.target_pose.pose.position.y,field.goal.target_pose.pose.position.z,field.goal.target_pose.pose.orientation.x,field.goal.target_pose.pose.orientation.y,field.goal.target_pose.pose.orientation.z,field.goal.target_pose.pose.orientation.w
1780307460095752052,3,1780307460095295897,,0,,3,1780307460094464734,map,-2.84411692619,-2.79519033432,0.0,0.0,0.0,-0.0056145333932,0.999984238383
1780307465395876570,4,1780307465395282287,,0,,4,1780307465394192786,map,-2.72219729424,-2.75697183609,0.0,0.0,0.0,-0.000774566006696,0.999999700024
1780307481642815395,5,1780307481637478567,,0,,5,1780307481635509205,map,-2.80049657822,-2.79715466499,0.0,0.0,0.0,0.00325035476564,0.999994717583
1780307485414530835,6,1780307485414235673,,0,,6,1780307485413456751,map,-2.67110943794,-2.83576273918,0.0,0.0,0.0,-0.0273983312178,0.999624595259
1780307487834614437,7,1780307487834272555,,0,,7,1780307487833560822,map,-1.76560258865,-2.62521362305,0.0,0.0,0.0,-0.00465039722813,0.999989186844
1780307504428136086,8,1780307504425937030,,0,,8,1780307504424655963,map,-3.02154350281,-2.85276389122,0.0,0.0,0.0,-0.00614214225836,0.999981136866
